
TEST CASES
case	语音	直播时长	视频	语音+视频	pairings
1	1	59	1	1	6
2	1	119	199	199	6
3	1	179	399	399	6
4	1	181	599	599	6
5	199	179	1	199	6
6	199	181	199	1	6
7	199	59	399	599	6
8	199	119	599	399	6
9	399	181	1	399	6
10	399	179	199	599	6
11	399	119	399	1	6
12	399	59	599	199	6
13	599	119	1	599	6
14	599	59	199	399	6
15	599	181	399	199	6
16	599	179	599	1	6
17	601	59	601	601	6
18	601	119	1	601	4
19	601	179	199	601	4
20	601	181	399	601	4
21	1	119	601	1	3
22	199	179	601	199	3
23	399	181	601	399	3
24	599	~59	601	599	2
25	601	~59	599	1	2
26	1	~179	599	601	2
27	199	~59	~1	601	1
28	399	~119	~1	601	1
29	599	~181	~1	601	1
30	601	~179	~1	199	1
31	601	~119	~199	399	1
32	601	~119	~399	599	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
语音	视频	1	1	1	1
语音	视频	1	199	1	2
语音	视频	1	399	1	3
语音	视频	1	599	2	4, 26
语音	视频	1	601	1	21
语音	视频	199	1	2	5, 27
语音	视频	199	199	1	6
语音	视频	199	399	1	7
语音	视频	199	599	1	8
语音	视频	199	601	1	22
语音	视频	399	1	2	9, 28
语音	视频	399	199	1	10
语音	视频	399	399	1	11
语音	视频	399	599	1	12
语音	视频	399	601	1	23
语音	视频	599	1	2	13, 29
语音	视频	599	199	1	14
语音	视频	599	399	1	15
语音	视频	599	599	1	16
语音	视频	599	601	1	24
语音	视频	601	1	2	18, 30
语音	视频	601	199	2	19, 31
语音	视频	601	399	2	20, 32
语音	视频	601	599	1	25
语音	视频	601	601	1	17
语音	语音+视频	1	1	2	1, 21
语音	语音+视频	1	199	1	2
语音	语音+视频	1	399	1	3
语音	语音+视频	1	599	1	4
语音	语音+视频	1	601	1	26
语音	语音+视频	199	1	1	6
语音	语音+视频	199	199	2	5, 22
语音	语音+视频	199	399	1	8
语音	语音+视频	199	599	1	7
语音	语音+视频	199	601	1	27
语音	语音+视频	399	1	1	11
语音	语音+视频	399	199	1	12
语音	语音+视频	399	399	2	9, 23
语音	语音+视频	399	599	1	10
语音	语音+视频	399	601	1	28
语音	语音+视频	599	1	1	16
语音	语音+视频	599	199	1	15
语音	语音+视频	599	399	1	14
语音	语音+视频	599	599	2	13, 24
语音	语音+视频	599	601	1	29
语音	语音+视频	601	1	1	25
语音	语音+视频	601	199	1	30
语音	语音+视频	601	399	1	31
语音	语音+视频	601	599	1	32
语音	语音+视频	601	601	4	17, 18, 19, 20
语音	直播时长	1	59	1	1
语音	直播时长	1	119	2	2, 21
语音	直播时长	1	179	2	3, 26
语音	直播时长	1	181	1	4
语音	直播时长	199	59	2	7, 27
语音	直播时长	199	119	1	8
语音	直播时长	199	179	2	5, 22
语音	直播时长	199	181	1	6
语音	直播时长	399	59	1	12
语音	直播时长	399	119	2	11, 28
语音	直播时长	399	179	1	10
语音	直播时长	399	181	2	9, 23
语音	直播时长	599	59	2	14, 24
语音	直播时长	599	119	1	13
语音	直播时长	599	179	1	16
语音	直播时长	599	181	2	15, 29
语音	直播时长	601	59	2	17, 25
语音	直播时长	601	119	3	18, 31, 32
语音	直播时长	601	179	2	19, 30
语音	直播时长	601	181	1	20
视频	语音+视频	1	1	1	1
视频	语音+视频	1	199	2	5, 30
视频	语音+视频	1	399	1	9
视频	语音+视频	1	599	1	13
视频	语音+视频	1	601	4	18, 27, 28, 29
视频	语音+视频	199	1	1	6
视频	语音+视频	199	199	1	2
视频	语音+视频	199	399	2	14, 31
视频	语音+视频	199	599	1	10
视频	语音+视频	199	601	1	19
视频	语音+视频	399	1	1	11
视频	语音+视频	399	199	1	15
视频	语音+视频	399	399	1	3
视频	语音+视频	399	599	2	7, 32
