
TEST CASES
case	本周文字价格	本周文字收益	pairings
1	默认2钻/条	0	1
2	3钻/条	0	1
3	4钻/条	0	1
4	5钻/条	0	1
5	默认2钻/条	49	1
6	3钻/条	49	1
7	4钻/条	49	1
8	5钻/条	49	1
9	默认2钻/条	50	1
10	3钻/条	50	1
11	4钻/条	50	1
12	5钻/条	50	1
13	默认2钻/条	79	1
14	3钻/条	79	1
15	4钻/条	79	1
16	5钻/条	79	1
17	默认2钻/条	80	1
18	3钻/条	80	1
19	4钻/条	80	1
20	5钻/条	80	1
21	默认2钻/条	149	1
22	3钻/条	149	1
23	4钻/条	149	1
24	5钻/条	149	1
25	默认2钻/条	150	1
26	3钻/条	150	1
27	4钻/条	150	1
28	5钻/条	150	1
29	默认2钻/条	151	1
30	3钻/条	151	1
31	4钻/条	151	1
32	5钻/条	151	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
本周文字收益	本周文字价格	0	默认2钻/条	1	1
本周文字收益	本周文字价格	0	3钻/条	1	2
本周文字收益	本周文字价格	0	4钻/条	1	3
本周文字收益	本周文字价格	0	5钻/条	1	4
本周文字收益	本周文字价格	49	默认2钻/条	1	5
本周文字收益	本周文字价格	49	3钻/条	1	6
本周文字收益	本周文字价格	49	4钻/条	1	7
本周文字收益	本周文字价格	49	5钻/条	1	8
本周文字收益	本周文字价格	50	默认2钻/条	1	9
本周文字收益	本周文字价格	50	3钻/条	1	10
本周文字收益	本周文字价格	50	4钻/条	1	11
本周文字收益	本周文字价格	50	5钻/条	1	12
本周文字收益	本周文字价格	79	默认2钻/条	1	13
本周文字收益	本周文字价格	79	3钻/条	1	14
本周文字收益	本周文字价格	79	4钻/条	1	15
本周文字收益	本周文字价格	79	5钻/条	1	16
本周文字收益	本周文字价格	80	默认2钻/条	1	17
本周文字收益	本周文字价格	80	3钻/条	1	18
本周文字收益	本周文字价格	80	4钻/条	1	19
本周文字收益	本周文字价格	80	5钻/条	1	20
本周文字收益	本周文字价格	149	默认2钻/条	1	21
本周文字收益	本周文字价格	149	3钻/条	1	22
本周文字收益	本周文字价格	149	4钻/条	1	23
本周文字收益	本周文字价格	149	5钻/条	1	24
本周文字收益	本周文字价格	150	默认2钻/条	1	25
本周文字收益	本周文字价格	150	3钻/条	1	26
本周文字收益	本周文字价格	150	4钻/条	1	27
本周文字收益	本周文字价格	150	5钻/条	1	28
本周文字收益	本周文字价格	151	默认2钻/条	1	29
本周文字收益	本周文字价格	151	3钻/条	1	30
本周文字收益	本周文字价格	151	4钻/条	1	31
本周文字收益	本周文字价格	151	5钻/条	1	32
